Timestamp,State of Residence ,Geo-Pol Zone (place of residence),What SIM Do You Use?,What Network Type is Your Sim?,Do You Make Calls?,"If Yes, How Strong is The Network in Your Area?",Do You Send Text Messages?,"If Yes, How Strong is The Network in Your Area?",Do You Browse The Internet?,"If Yes, How Strong is The Network in Your Area?","On a Scale of 0 to 5, Rate The Quality of Service You Experience While Using This Particular SIM.",Kindly Give a Quick Comment On This SIM's Quality of Service (Please Do Express Yourself Clearly).
2022/07/12 1:58:20 PM GMT+1,Ogun,South West,MTN,4G,Yes,5,Yes,5,Yes,5,5,Very good QoS from MTN's 4G in Ogun state
2022/07/12 1:59:30 PM GMT+1,Ondo,South West,MTN,4G,Yes,5,Yes,5,Yes,5,5,Very fast and enjoyable. MTN works great
2022/07/12 2:01:52 PM GMT+1,Enugu,South East,MTN,4G,Yes,5,Yes,5,Yes,5,5,Excellent network coverage from MTN's. very fast and affordable
2022/07/12 2:05:43 PM GMT+1,Imo,South East,MTN,4G,Yes,3,Yes,3,Yes,3,3,"MTN in IMO state is every poor. Too slow and often times, it is unavailable."
2022/07/12 2:07:22 PM GMT+1,Ogun,South West,Globacom,4G,Yes,5,Yes,5,Yes,4,5,Glo is very good over here. Browsing can be slow sometimes but it is good on average.
2022/07/12 2:08:32 PM GMT+1,Ondo,South West,Globacom,4G,Yes,5,Yes,5,Yes,5,5,Very satisfactory service. Really good
2022/07/12 2:09:56 PM GMT+1,Enugu,South East,Globacom,4G,Yes,5,Yes,5,Yes,5,5,Awesome QoS from glo. Fast and enjoyable. I recommend.
2022/07/12 2:11:16 PM GMT+1,Imo,South East,Globacom,4G,Yes,2,Yes,3,Yes,3,3,Really a below average performance from Glo. I don't like it here at all.
2022/07/12 2:12:49 PM GMT+1,Ogun,South West,MTN,3G,Yes,4,Yes,4,Yes,3,4,Not too good for browsing. It cuts off sometimes and is very slow almost every time.
2022/07/12 2:14:20 PM GMT+1,Ondo,South West,Globacom,3G,Yes,2,Yes,2,Yes,4,2,Calling and texting is manageable but I just so hate The browsing aspects. Very slow and annoying.
2022/07/12 2:17:43 PM GMT+1,Ogun,South West,Globacom,3G,Yes,1,Yes,2,Yes,2,2,Glo is very bad here. I won't even recommend it to the devil
2022/07/12 2:19:03 PM GMT+1,Ondo,South West,MTN,3G,Yes,4,Yes,4,Yes,4,4,Satisfactory. Can improve tho especially I'm browsing. But still better than the lots of em.
2022/07/12 2:25:38 PM GMT+1,Edo,South South,9mobile,4G,Yes,3,Yes,3,Yes,3,3,Very poor network
2022/07/12 2:28:21 PM GMT+1,Ondo,South West,MTN,4G,Yes,4,Yes,4,Yes,4,4,It is good but sometimes annoying
2022/07/12 2:56:49 PM GMT+1,Ogun,South West,MTN,4G,Yes,4,Yes,5,Yes,4,4,The best you could ask for!
2022/07/12 3:01:13 PM GMT+1,Ogun,South West,MTN,4G,Yes,4,Yes,4,Yes,4,4,Good 
2022/07/12 3:09:04 PM GMT+1,Lagos,South West,Others,4G,Yes,4,Yes,4,Yes,4,4,I use Glo sim..but whenever it's raining there is always no network.
2022/07/12 3:10:58 PM GMT+1,Lagos,South West,9mobile,3G,Yes,3,Yes,3,No,2,3,"I use 9mobile sim.
I don't use it for internet cos the network is always poor."
2022/07/12 3:12:03 PM GMT+1,Ogun,South West,Others,3G,Yes,3,Yes,3,Yes,2,2,...
2022/07/13 8:40:35 AM GMT+1,Ondo,South West,Globacom,4G,Yes,4,Yes,5,Yes,3,3,Fair
2022/07/13 8:42:44 AM GMT+1,Ekiti,South West,Airtel,4G,Yes,5,Yes,5,Yes,4,4,"Well I love my ISP (Airtel NG), sometimes my Data connection is fast, sometimes kinda slow, but overall, it get my job done and  i prefer it to MTN"
2022/07/13 8:47:33 AM GMT+1,Lagos,South West,MTN,4G,Yes,4,Yes,5,Yes,4,4,Manageable 
2022/07/13 8:50:30 AM GMT+1,Abuja,North Central,MTN,4G,Yes,4,Yes,5,Yes,4,4,It's a very good idea 
